Count	Insert	Find	Delete
0	913	740	970	
1	832	381	729	
2	1228	568	2189	
3	1694	517	1086	
4	1658	872	1156	
5	1365	641	1054	
6	1290	598	1147	
7	911	446	801	
8	1659	381	919	
9	1246	320	1935	
10	1095	352	3054	
11	837	899	1095	
12	1268	548	1005	
13	894	325	1247	
14	1962	339	1159	
15	1047	358	1628	
16	1486	337	1057	
17	1185	400	1235	
18	1445	456	1633	
19	1055	401	1106	
20	1253	637	1247	
21	984	345	1118	
22	1086	766	1753	
23	1423	420	974	
24	1352	486	1269	
25	2393	542	1002	
26	1182	593	1284	
27	3082	681	1278	
28	1091	422	1236	
29	1257	447	2446	
30	2133	359	1089	
31	2450	606	1024	
32	1439	416	1072	
33	2219	751	1471	
34	1910	748	1448	
35	1280	1777	1841	
36	2250	434	1118	
37	3617	409	1548	
38	1571	460	1316	
39	2810	386	1123	
40	1386	492	1263	
41	1979	796	1057	
42	1485	707	1225	
43	1731	408	1348	
44	1520	360	1384	
45	2343	655	1954	
46	1539	506	1580	
47	2441	391	1610	
48	1578	371	1723	
49	2523	449	1146	
50	1985	761	2512	
51	1876	471	1419	
52	1603	384	1512	
53	1809	339	1700	
54	1541	762	2331	
55	2806	593	1947	
56	4035	533	2259	
57	1666	464	2873	
58	1917	855	2753	
59	2292	410	1280	
60	2306	1874	2627	
61	2415	1072	5552	
62	2062	674	1841	
63	2894	618	2011	
64	2222	850	1791	
65	1891	529	2178	
66	1757	786	1711	
67	1264	866	2073	
68	1391	360	1584	
69	1729	1649	1432	
70	1693	809	1187	
71	3443	363	1599	
72	2230	357	1791	
73	1887	821	1372	
74	1229	428	1458	
75	2237	367	1251	
76	2523	360	1761	
77	1554	720	1433	
78	1658	421	1951	
79	1484	493	1538	
80	2166	1295	1949	
81	1328	357	1869	
82	1640	422	1278	
83	2095	1020	2510	
84	1728	379	1884	
85	1644	408	2560	
86	1498	573	1195	
87	1592	575	1407	
88	2530	386	3352	
89	2622	794	1283	
90	2668	962	2096	
91	2433	910	3414	
92	2687	375	1320	
93	1211	582	1954	
94	2852	358	1111	
95	1131	336	1074	
96	1802	388	1921	
97	1249	398	1094	
98	1301	485	1550	
99	3282	1277	1173	
100	1973	414	1177	
