Count	Insert	Find	Delete
0	670	1623	2540	
1	1939	521	1083	
2	915	1028	1455	
3	1273	623	1098	
4	1282	729	1608	
5	2599	545	1255	
6	1039	516	515	
7	1147	3737	1360	
8	1197	1156	1915	
9	2866	573	1498	
10	2139	686	2495	
11	5377	6634	1946	
12	4951	1285	3372	
13	1426	873	1372	
14	1602	617	1628	
15	1725	829	969	
16	1084	618	1575	
17	1875	365	795	
18	2293	565	2377	
19	1900	492	881	
20	1166	808	1564	
21	1415	775	2866	
22	1533	841	2615	
23	1620	728	2456	
24	1837	1113	2521	
25	3029	803	3017	
26	3277	1188	1451	
27	1887	645	1961	
28	1372	574	4081	
29	2612	1083	2754	
30	1763	738	1207	
31	1775	2462	1334	
32	764	343	551	
33	636	337	525	
34	738	451	2978	
35	1307	657	1195	
36	1078	714	2718	
37	1111	529	585	
38	669	334	573	
39	642	350	520	
40	1836	400	586	
41	749	491	750	
42	957	353	763	
43	858	359	5549	
44	1191	545	1130	
45	744	336	1052	
46	666	333	544	
47	668	500	838	
48	684	356	553	
49	845	432	1689	
50	888	977	1292	
51	1422	1052	2281	
52	1875	614	1045	
53	863	356	597	
54	821	3785	726	
55	698	335	570	
56	683	336	557	
57	674	357	1604	
58	728	371	555	
59	682	339	548	
60	782	570	840	
61	721	1715	583	
62	695	340	549	
63	737	519	855	
64	710	368	554	
65	700	1763	715	
66	731	345	1072	
67	713	346	558	
68	704	334	536	
69	697	2790	967	
70	867	355	558	
71	710	375	557	
72	656	358	567	
73	3469	574	580	
74	680	388	625	
75	651	363	629	
76	667	324	2332	
77	718	348	571	
78	685	465	644	
79	919	451	857	
80	3537	500	1046	
81	882	448	1441	
82	1899	396	659	
83	787	388	730	
84	1801	4024	2376	
85	1568	2371	2487	
86	2396	931	1266	
87	734	396	2842	
88	5308	848	2022	
89	1651	541	1135	
90	882	791	1926	
91	1073	760	776	
92	1011	1434	1167	
93	1059	854	739	
94	1008	352	2084	
95	882	366	688	
96	1081	388	1164	
97	1598	365	1041	
98	1193	515	847	
99	984	605	1009	
100	1273	398	727	
